date,ticker,name,end,AUM,log_return_t+5
2024-06-17,423160,KODEX KOFR금리액티브(합성),105293,28264,0.0006550995938159332
2024-06-17,459580,KODEX CD금리액티브(합성),1020960,354948,0.0006873518718979454
2024-06-18,157450,TIGER 단기통안채,106184,5223,0.0006025457740488349
2024-06-18,423160,KODEX KOFR금리액티브(합성),105288,20342,0.0007974936338364103
2024-06-18,459580,KODEX CD금리액티브(합성),1021058,412049,0.000688264626235835
2024-06-19,157450,TIGER 단기통안채,106194,10958,0.0005083740612779053
2024-06-19,423160,KODEX KOFR금리액티브(합성),105307,42632,0.0007119498708334504
2024-06-19,459580,KODEX CD금리액티브(합성),1021162,429075,0.0006823229198751335
2024-06-20,157450,TIGER 단기통안채,106223,9986,0.0004705971022769262
2024-06-20,423160,KODEX KOFR금리액티브(합성),105317,35262,0.0007118822942295822
2024-06-20,459580,KODEX CD금리액티브(합성),1021358,498389,0.0006870841184891674
2024-06-21,157450,TIGER 단기통안채,106233,6203,0.0006116754922960155
2024-06-21,423160,KODEX KOFR금리액티브(합성),105347,36554,0.000711679641366203
2024-06-21,459580,KODEX CD금리액티브(합성),1021584,433611,0.0006879103698071987
2024-06-24,157450,TIGER 단기통안채,106228,8766,0.0007904394878472942
2024-06-24,423160,KODEX KOFR금리액티브(합성),105362,39181,0.0007115783581959079
2024-06-24,459580,KODEX CD금리액티브(합성),1021662,681159,0.0006722077580487706
2024-06-25,157450,TIGER 단기통안채,106248,14540,0.0008373121828899599
2024-06-25,423160,KODEX KOFR금리액티브(합성),105372,19981,0.0007115108520974189
2024-06-25,459580,KODEX CD금리액티브(합성),1021761,713562,0.0006760548204312045
2024-06-26,157450,TIGER 단기통안채,106248,3250,0.0008373121828899599
2024-06-26,423160,KODEX KOFR금리액티브(합성),105382,24842,0.0006166134835297044
2024-06-26,459580,KODEX CD금리액티브(합성),1021859,730447,0.0006818576727365411
2024-06-27,157450,TIGER 단기통안채,106273,10823,0.001119131144477592
2024-06-27,423160,KODEX KOFR금리액티브(합성),105392,32976,0.0006639665604790679
2024-06-27,459580,KODEX CD금리액티브(합성),1022060,574988,0.000678790370807647
2024-06-28,157450,TIGER 단기통안채,106298,12088,0.0010624845270328365
2024-06-28,423160,KODEX KOFR금리액티브(합성),105422,40487,0.0006922154488719912
2024-06-28,459580,KODEX CD금리액티브(합성),1022287,605694,0.0006757070856746594
2024-07-01,157450,TIGER 단기통안채,106312,10723,0.001024758824806682
2024-07-01,423160,KODEX KOFR금리액티브(합성),105437,48992,0.0006921170048777014
2024-07-01,459580,KODEX CD금리액티브(합성),1022349,481581,0.0006883732662821274
2024-07-02,157450,TIGER 단기통안채,106337,14529,0.0007426452612264711
2024-07-02,423160,KODEX KOFR금리액티브(합성),105447,66735,0.0006446658863197285
2024-07-02,459580,KODEX CD금리액티브(합성),1022452,505015,0.0006804849695516424
2024-07-03,157450,TIGER 단기통안채,106337,10178,0.0010245180257264508
2024-07-03,423160,KODEX KOFR금리액티브(합성),105447,29545,0.0007299581783186682
2024-07-03,459580,KODEX CD금리액티브(합성),1022556,427993,0.0006628246543609606
2024-07-04,157450,TIGER 단기통안채,106392,14819,0.0005543992662300212
2024-07-04,423160,KODEX KOFR금리액티브(합성),105462,32137,0.0006824774194260641
2024-07-04,459580,KODEX CD금리액티브(합성),1022754,399217,0.0006656276865371069
2024-07-05,157450,TIGER 단기통안채,106411,21233,0.0005167303299433712
2024-07-05,423160,KODEX KOFR금리액티브(합성),105495,48546,0.000701209140659742
2024-07-05,459580,KODEX CD금리액티브(합성),1022978,527006,0.0006635282059690439
2024-07-08,157450,TIGER 단기통안채,106421,91030,0.0005166817871877782
2024-07-08,423160,KODEX KOFR금리액티브(합성),105510,33539,0.0006063936817675142
2024-07-08,459580,KODEX CD금리액티브(합성),1023053,478761,0.000666410029021236
2024-07-09,157450,TIGER 단기통안채,106416,3765,0.0007514842166234104
2024-07-09,423160,KODEX KOFR금리액티브(합성),105515,54548,0.0006063649555265727
